=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.10.07 10:30:58 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	79	88	20
1	125	13	104
2	63	54	107
3	125	106	115
4	147	86	101
5	150	47	37
6	91	72	81
7	110	58	74
8	134	5	169
9	95	105	83
10	86	76	5334
11	71	19	30
12	30	61	14
13	144	58	14
14	146	117	83
15	52	130	164
16	60	27	44
17	144	156	105
18	176	74	91
19	167	19	35
20	72	114	101
21	94	56	82
22	125	97	114
23	26	127	117
24	132	153	81
25	16	38	25
26	14	115	138
27	16	24	34
28	148	6	27
29	53	84	159
30	36	19	48
31	149	139	124
32	167	176	127
33	106	64	147
34	175	15	155
35	159	39	124
36	98	88	76
37	131	66	76
38	121	132	143
39	107	118	91
40	139	99	109
41	126	92	83
42	28	15	144
43	147	115	157
44	89	159	98
45	55	76	15
46	82	43	64
47	118	44	141
48	121	130	142
49	132	157	173
50	17	86	108
51	102	72	58
52	23	11	53
53	87	116	41
54	165	72	174
55	158	49	102
56	67	52	40
57	80	108	89
58	71	166	176
59	170	161	152
60	150	99	112
61	173	135	123
62	17	61	48
63	33	53	62
64	151	137	122
65	108	86	163
66	146	160	170
67	184	175	146
68	171	129	68
69	119	34	96
70	133	105	123
71	176	163	7
72	55	116	135
73	127	40	117
74	134	114	124
75	164	153	69
76	114	105	123
77	77	102	90
78	85	119	109
79	45	61	82
80	39	30	21
81	165	174	119
82	158	131	167
83	161	152	170
84	74	83	60
85	133	142	106
86	186	176	126
87	116	84	168
88	6	99	90
89	121	107	95
90	112	28	92
91	98	84	166
92	57	165	67
93	128	105	118
94	158	124	148
95	87	140	97
96	36	51	12
97	7	29	18
98	153	9	166
99	50	39	28
100	140	108	120
101	159	104	7
102	140	41	22
103	140	150	131
104	154	145	107
105	91	82	143
106	158	89	169
107	17	127	143
108	62	131	106
109	173	113	135
110	69	125	101
111	41	32	13
112	128	87	155
113	25	33	80
114	96	57	105
115	71	101	111
116	27	18	114
117	53	27	39
118	27	106	40
119	48	118	34
120	45	36	54
121	159	116	29
122	19	80	106
123	43	70	60
124	30	104	85
125	59	135	120
126	69	81	93
127	63	46	142
128	122	141	131
129	126	144	135
130	115	106	97
131	24	10	178
132	94	152	161
133	141	124	104
134	55	74	64
135	177	10	167
136	31	77	19
137	39	30	103
138	37	134	111
139	49	36	22
140	27	12	109
141	97	45	163
142	27	164	36
143	85	76	98
144	125	134	144
145	34	43	52
146	53	72	63
147	81	53	63
148	18	171	27
149	81	14	158
150	56	65	42
151	17	179	188
152	79	36	9
153	6	108	90
154	14	43	33
155	45	27	10
156	45	55	65
157	84	93	62
158	94	112	103
159	98	137	111
160	124	153	143
161	130	144	154
162	78	96	69
163	170	13	180
164	144	59	134
165	81	134	95
166	32	113	51
167	46	37	58
168	108	21	31
169	161	181	171
170	105	119	129
171	172	33	96
172	69	89	79
173	67	85	95
174	50	14	59
175	64	55	44
176	74	5325	65
177	154	167	177
178	84	7	74
179	126	70	60
180	128	109	36
181	31	83	102
182	54	7	165
183	15	151	137
