=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.10.07 10:30:58 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
184	38	148	55
185	59	48	32
186	161	170	68
187	44	53	132
188	86	72	99
189	172	51	41
190	162	26	36
191	30	151	18
192	103	94	79
193	76	67	34
194	25	16	176
195	118	49	93
196	171	146	159
197	103	113	61
198	140	42	52
199	31	93	102
200	29	42	12
201	119	130	98
202	184	174	165
203	138	155	129
204	65	54	31
205	95	112	125
206	89	122	106
207	29	143	55
208	118	150	163
209	69	59	35
210	140	55	72
211	129	85	98
212	167	95	135
213	11	43	33
214	93	155	145
215	32	22	151
216	31	18	40
217	124	114	37
218	131	49	59
219	59	73	167
220	10	155	19
221	165	174	93
222	74	170	10
223	94	84	103
224	34	24	43
225	156	166	176
226	64	83	152
227	38	52	11
228	51	21	141
229	76	135	47
230	139	103	112
231	41	66	56
232	97	83	36
233	141	45	63
234	188	169	178
235	155	70	23
236	51	42	33
237	156	147	128
238	16	25	126
239	142	151	161
240	91	82	100
241	141	119	129
242	23	54	44
243	68	90	80
244	178	9	103
245	158	167	144
246	149	53	132
247	89	98	77
248	66	132	146
249	84	158	148
250	104	91	115
251	82	184	174
252	101	92	110
253	87	96	69
254	43	25	8
255	118	38	131
256	105	26	170
257	177	163	186
258	8	168	178
259	33	21	84
260	79	70	123
261	174	43	58
262	131	59	121
263	106	157	171
264	70	125	134
265	103	83	93
266	37	134	28
267	24	121	108
268	93	15	36
269	47	28	132
270	93	6	172
271	23	13	175
272	164	152	110
273	81	38	71
274	99	108	118
275	24	76	38
276	46	37	26
277	8	171	160
278	148	162	124
279	169	159	9
280	103	90	126
281	140	52	37
282	160	174	145
283	34	50	62
284	108	66	91
285	38	154	53
286	171	83	180
287	79	67	90
288	104	87	121
289	164	155	174
290	64	18	52
291	15	101	87
292	96	80	138
293	156	104	95
294	151	137	114
295	92	145	101
296	68	44	58
297	54	45	63
298	151	134	102
299	91	108	118
300	126	72	81
301	58	67	48
302	74	96	86
303	149	125	135
304	156	91	165
305	79	70	47
306	79	70	61
307	57	72	95
308	109	130	80
309	23	109	82
310	63	73	85
311	65	135	122
312	150	9	168
313	147	120	134
314	36	45	21
315	31	58	45
316	86	76	58
317	13	89	44
318	101	45	148
319	66	121	75
320	85	105	95
321	158	144	130
322	135	106	11
323	147	161	121
324	150	21	73
325	121	6	134
326	102	143	130
327	21	8	151
328	147	167	157
329	61	129	52
330	112	91	61
331	55	32	10
332	89	153	100
333	15	135	28
334	9	120	26
335	161	147	130
336	11	23	146
337	46	82	70
338	122	132	47
339	69	102	115
340	147	178	168
341	13	162	29
342	51	33	60
343	101	15	89
344	143	38	124
345	109	23	118
346	94	103	113
347	107	57	48
348	145	117	36
349	56	75	65
350	19	170	9
351	120	129	51
352	10	38	24
353	117	82	103
354	19	28	128
355	57	87	73
356	33	42	20
357	61	140	129
358	162	105	95
359	156	165	142
360	183	163	173
361	19	167	10
362	114	41	123
363	171	79	180
364	170	160	7
365	33	114	124
366	128	103	119
367	160	81	173
368	158	89	9
369	68	77	97
370	47	85	114
371	143	152	173
372	93	111	120
373	163	126	153
374	37	101	125
375	143	120	134
376	23	41	51
377	8	147	17
378	92	24	124
379	109	95	152
380	71	145	175
381	169	7	37
382	103	84	163
383	107	6	93
384	56	47	126
385	126	45	102
386	98	86	110
387	73	127	107
388	151	8	22
389	21	169	159
390	148	43	138
391	30	135	40
392	71	113	15
393	91	114	104
394	153	77	68
395	113	57	47
396	156	169	179
397	175	30	18
398	93	83	57
399	10	19	29
400	25	173	11
401	88	126	47
402	47	56	30
403	145	161	111
404	60	84	75
405	131	144	155
406	85	121	131
407	97	76	59
408	17	139	124
409	78	68	155
410	188	178	9
411	90	81	143
412	50	127	59
413	115	124	134
414	44	34	106
415	79	92	7
416	15	133	106
417	170	106	12
418	168	91	29
419	140	37	52
420	155	8	91
421	123	142	157
422	37	27	51
423	61	141	80
424	12	62	72
425	21	31	11
426	23	9	39
427	184	22	174
428	29	63	157
429	144	120	134
430	104	155	70
431	88	106	176
432	91	100	82
433	163	77	172
434	169	104	94
435	131	122	110
436	83	66	97
437	141	150	97
438	47	149	135
439	157	36	170
440	50	24	60
441	172	122	50
442	7	87	115
443	24	143	42
444	86	114	104
445	145	102	120
446	99	70	29
447	127	12	144
448	77	172	156
449	62	14	51
450	167	119	110
451	113	168	127
452	15	6	175
453	79	88	65
454	38	51	28
455	124	97	110
456	17	91	26
457	158	148	123
458	11	132	111
459	86	161	175
460	135	125	69
461	67	43	57
462	122	113	132
463	154	61	163
464	45	139	121
465	171	68	82
466	90	143	80
467	50	31	10
468	50	59	29
469	149	131	177
470	65	77	90
471	36	48	78
472	159	150	138
473	123	113	104
474	52	150	171
475	163	154	63
476	87	68	59
477	43	33	134
478	69	138	115
479	154	74	141
480	153	139	121
481	74	122	132
482	50	109	91
483	97	33	24
484	168	178	188
485	36	123	45
486	79	88	97
487	13	161	149
488	132	148	25
489	10	80	19
490	94	174	164
491	33	60	48
492	10	188	178
493	169	160	57
494	161	9	28
495	168	7	177
496	161	141	151
497	120	145	156
498	16	173	25
499	74	83	61
500	81	98	40
501	23	11	169
502	62	19	50
503	153	91	140
504	35	174	184
505	23	32	42
506	70	153	136
507	36	24	45
508	155	110	165
509	117	175	23
510	175	184	10
511	27	132	170
512	38	28	18
513	31	119	130
514	45	90	78
515	138	27	150
516	88	146	97
517	136	171	158
518	101	109	91
519	20	174	6
520	6	105	158
521	47	19	37
522	94	72	83
523	112	91	102
524	51	128	42
525	20	167	176
526	82	22	170
527	116	187	177
528	140	154	164
529	176	157	9
530	40	74	170
531	141	76	114
532	167	153	89
533	150	78	164
534	139	119	129
535	94	161	118
536	46	118	141
537	68	101	82
538	100	119	109
539	152	141	162
540	141	165	153
541	57	48	38
542	52	80	122
543	141	132	111
544	34	58	43
545	78	150	68
546	132	157	113
547	85	15	75
548	83	74	934
549	66	129	119
550	177	61	167
551	106	42	146
552	36	56	46
553	29	104	144
554	33	42	64
555	168	187	177
556	166	16	135
557	46	145	135
558	154	164	141
559	62	21	80
560	165	69	79
561	161	8	35
562	96	114	104
563	20	168	135
564	164	54	45
565	6	98	16
566	39	14	25
567	86	76	67
568	65	100	118
569	75	37	51
570	76	131	89
571	99	108	34
572	56	78	88
573	151	131	141
574	101	65	87
575	121	130	102
576	69	7	79
577	151	38	166
578	72	57	81
579	138	85	150
580	46	110	75
581	19	7	31
582	170	135	14
583	153	162	135
584	89	9	165
585	50	67	79
586	86	30	98
587	92	108	120
588	105	96	63
589	16	25	151
590	56	75	65
591	36	22	45
592	182	153	172
593	123	101	113
594	44	5302	35
595	175	166	184
596	86	77	11
597	80	168	89
598	56	43	65
599	137	54	146
600	54	63	43
601	68	171	51
602	150	159	141
603	9	173	183
604	158	116	131
605	171	10	20
606	73	92	82
607	35	25	166
608	102	126	116
609	102	79	92
610	6	158	172
611	86	9	100
612	151	52	137
613	23	69	171
614	151	62	71
615	172	153	162
616	100	137	166
617	106	80	65
618	55	37	67
619	19	142	132
620	121	68	78
621	78	92	102
622	133	152	142
623	149	65	127
624	163	143	153
625	124	150	36
626	62	73	87
627	74	83	94
628	18	167	8
629	139	158	168
630	97	61	49
631	34	44	144
632	6	110	88
633	57	166	176
634	162	11	86
635	121	70	141
636	45	71	61
637	44	92	75
638	140	131	42
639	167	7	177
640	111	102	92
641	154	141	164
642	9	101	92
643	20	11	33
644	33	23	10
645	132	95	122
646	48	23	38
647	27	37	46
648	93	102	112
649	174	83	65
650	123	114	164
651	165	11	96
652	112	101	47
653	166	79	137
654	92	171	161
655	134	170	124
656	167	158	14
657	142	86	96
658	156	166	125
659	78	66	107
660	137	152	119
661	161	147	86
662	62	8	168
663	162	153	171
664	73	155	82
665	54	72	15
666	85	96	106
667	103	21	148
668	27	45	92
669	143	64	55
670	78	11	68
671	29	138	39
672	8	77	176
673	134	163	57
674	107	12	28
675	52	168	10
676	53	160	62
677	104	94	117
678	23	136	175
679	176	18	166
680	36	128	143
681	32	23	41
682	154	122	131
683	165	174	155
684	68	79	54
685	81	68	53
686	114	90	73
687	32	44	8
688	54	73	63
689	57	165	85
690	155	145	128
691	47	38	88
692	144	130	71
693	13	32	148
694	37	46	19
695	142	151	52
696	71	61	170
697	23	32	13
698	98	89	75
699	159	121	134
700	123	132	25
701	56	35	18
702	166	157	140
703	123	49	40
704	169	160	150
705	92	121	108
706	57	21	45
707	35	70	84
708	141	35	49
709	66	27	43
710	157	131	179
711	51	173	161
712	56	129	87
713	54	63	21
714	159	168	148
715	123	76	92
716	51	144	104
717	110	101	119
718	152	143	161
719	102	115	67
720	51	16	153
721	117	131	141
722	66	89	148
723	149	13	177
724	14	38	27
725	12	101	45
726	61	131	117
727	111	102	88
728	109	96	84
729	90	66	79
730	135	148	159
731	9	166	149
732	161	170	125
733	137	164	177
734	108	67	85
735	130	117	146
736	63	38	143
737	40	113	48
738	57	44	28
739	33	42	118
740	177	68	186
741	105	96	57
742	148	126	138
743	165	63	174
744	158	27	9
745	98	116	126
746	26	96	17
747	8	177	123
748	68	81	59
749	100	112	86
750	16	90	77
751	17	82	166
752	131	111	140
753	176	138	162
754	168	56	158
755	102	145	92
756	91	68	78
757	48	115	93
758	55	43	9
759	178	85	94
760	11	47	61
761	96	162	149
762	143	152	130
763	94	82	65
764	134	14	29
765	149	98	77
766	128	141	109
767	78	18	33
768	90	71	119
769	125	109	78
770	58	117	127
771	142	133	151
772	145	123	135
773	165	184	174
774	128	142	119
775	148	159	169
776	46	78	31
777	72	92	82
778	169	106	97
779	150	125	159
780	84	169	179
781	18	6	59
782	109	39	30
783	172	38	29
784	147	105	163
785	106	32	140
786	103	94	80
787	30	154	169
788	63	72	140
789	144	157	167
790	78	118	19
791	13	124	170
792	176	120	164
793	108	122	68
794	160	169	150
795	29	170	19
796	117	103	126
797	101	131	35
798	80	93	167
799	99	108	89
800	32	134	116
801	102	134	124
802	46	60	141
803	93	33	174
804	75	153	142
805	141	101	112
806	139	40	58
807	72	38	47
808	141	54	158
809	17	103	32
810	8	24	123
811	13	143	153
812	89	105	60
813	117	126	136
814	44	115	102
815	51	169	15
816	40	29	10
817	59	131	141
818	170	13	61
819	154	145	132
820	144	134	124
821	76	5323	67
822	6	181	171
823	95	107	121
824	59	177	13
825	73	64	82
826	58	30	48
827	73	63	82
828	11	43	33
829	165	155	146
830	164	173	147
831	64	31	41
832	42	89	98
833	141	158	38
834	112	121	102
835	169	146	155
836	136	113	75
837	83	60	73
838	55	112	165
839	155	103	168
840	167	6	176
841	20	29	39
842	109	69	126
843	130	170	11
844	80	71	115
845	30	17	98
846	30	42	16
847	146	70	132
848	54	66	79
849	146	169	159
850	112	83	126
851	38	47	56
852	173	6	163
853	82	133	48
854	97	58	80
855	112	76	150
856	137	128	103
857	98	139	129
858	52	64	8
859	68	57	78
860	160	151	46
861	47	56	34
862	65	84	74
863	26	138	40
864	52	61	71
865	133	166	149
866	17	123	133
867	105	62	46
868	159	28	18
869	47	56	23
870	52	115	62
871	54	129	34
872	68	105	84
873	120	142	109
874	157	27	166
875	21	147	113
876	133	121	173
877	116	133	97
878	139	165	118
879	49	39	22
880	104	67	39
881	83	134	34
882	21	46	55
883	61	52	30
884	55	43	69
885	124	133	81
886	137	128	152
887	12	119	170
888	69	21	89
889	51	64	31
890	121	134	112
891	47	98	112
892	95	109	62
893	8	129	40
894	106	126	116
895	26	8	35
896	16	74	61
897	52	42	134
898	106	128	54
899	63	72	54
900	132	153	144
901	163	153	172
902	168	74	158
903	67	122	91
904	94	164	154
905	184	5611	175
906	38	47	121
907	62	38	52
908	85	125	148
909	137	19	10
910	160	32	15
911	164	106	9
912	72	96	22
913	81	179	8
914	156	101	140
915	126	167	114
916	112	133	145
917	152	72	63
918	149	46	65
919	27	36	18
920	98	107	36
921	127	137	117
922	49	105	95
923	25	6	113
924	169	42	97
925	34	146	115
926	185	165	175
927	175	53	8
928	146	58	34
929	11	161	173
930	69	98	78
931	108	118	128
932	133	142	152
933	113	146	131
934	150	85	166
935	142	24	12
936	110	38	24
937	126	117	36
938	127	96	106
939	41	18	28
940	28	119	129
941	227	137	156
942	111	124	84
943	35	7	24
944	64	151	93
945	165	156	136
946	165	38	55
947	121	141	131
948	84	62	94
949	95	49	158
950	109	20	90
951	38	57	47
952	31	153	53
953	55	68	14
954	113	103	129
955	100	160	174
956	96	23	67
957	153	143	134
958	182	173	163
959	89	75	7
960	34	43	53
961	87	160	110
962	41	31	13
963	74	83	64
964	80	153	141
965	123	10	113
966	137	92	105
967	59	130	139
968	55	64	74
969	169	21	82
970	138	120	111
971	12	108	30
972	58	164	48
973	47	24	7
974	54	66	22
975	57	115	66
976	91	100	59
977	40	142	82
978	17	88	98
979	123	40	28
980	160	151	67
981	175	152	165
982	127	118	58
983	170	160	111
984	26	74	88
985	159	169	93
986	183	138	173
987	134	85	124
988	116	104	164
989	69	49	59
990	174	165	151
991	72	63	53
992	20	146	136
993	32	23	41
994	123	137	147
995	105	79	140
996	157	79	166
997	170	60	8
998	106	138	44
999	125	38	52
